 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2020                                                                               18.     18.     18. 
2021       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2022       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2023       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
2024       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18. 
   1  SUDESTE               ANDE
2020                                                                             1837.   1985.   1871. 
2021     2319.   2105.   1863.   1754.   1591.   1609.   1662.   1566.   1686.   1853.   2003.   1965. 
2022     2435.   2210.   1957.   1842.   1671.   1690.   1745.   1644.   1770.   1946.   2103.   2063. 
2023     2557.   2320.   2054.   1934.   1754.   1774.   1832.   1727.   1859.   2043.   2208.   2166. 
2024     2685.   2352.   2157.   2031.   1842.   1863.   1924.   1813.   1952.   2145.   2318.   2274. 
POS      2685.   2352.   2157.   2031.   1842.   1863.   1924.   1813.   1952.   2145.   2318.   2274. 
 999
